Nazwa;KOSZT;KOSZ Z MARŻĄ;Pomiń marże;Opis;Main Flaga;Flaga;ItemCategory;ItemType;ItemGroupType;PLIK;Stackowanie;Instancja[OLD];visualInstance;Instancja [SAGA3];Waga;Tier;adminRank;hideNick;Liczba użyć;Stamina 1 Hit;HP 1 hit;Mana 1 Hit;Stamina;HP;MANA;Rodzaj Obrażeń;DMG;Zasięg;W: Siła;W: Zręczność;W: Inteligencja;healing_tick;efekt czaru;Instancja przemiany;HP przemiany;W: Krąg;W: Mana;runeType;Przedmiot do naprawy;Wytrzymałość;canRob;Podatek Silden %;Podatek Geldern %;expirationTime;foodType;enduranceCost;arrowSpeed;Obuchowa;Pociski;Sieczna;Magia;Ogień;Upadek;Profesja;Kategoria;model nazwa;Do katalogu?
Zbroja rodowa Gertz 4;BRAK;BRAK;FAŁSZ;Rodowa zbroja Gertzów.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_FRAC_37;14;4;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;75;25;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;350;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;50;45;45;0;0;10;;;;FAŁSZ
Zbroja rodowa Gertz 5;BRAK;BRAK;FAŁSZ;Rodowa zbroja Gertzów.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_FRAC_38;15;5;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;115;35;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Duży zestaw naprawczy do pancerzy;400;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;65;60;60;0;0;5;;;;FAŁSZ
Zbroja rodowa Gertz 1;BRAK;BRAK;FAŁSZ;Rodowa zbroja Gertzów.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;ITAR_GS_FRAC_34;ITAR_GS_FRAC_34_V1;8;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;4;16;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;300;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;15;20;20;0;0;5;;;;FAŁSZ
Zbroja rodowa Gertz 2;BRAK;BRAK;FAŁSZ;Rodowa zbroja Gertzów.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;ITAR_GS_FRAC_35;ITAR_GS_FRAC_35_V1;10;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;8;32;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;300;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;25;30;30;0;0;0;;;;FAŁSZ
Zbroja rodowa Gertz 3;BRAK;BRAK;FAŁSZ;Rodowa zbroja Gertzów.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;ITAR_GS_FRAC_36;ITAR_GS_FRAC_36_V1;12;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;16;54;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;350;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;40;35;35;0;0;15;;;;FAŁSZ
Zbroja rodowa Gertz 4;BRAK;BRAK;FAŁSZ;Rodowa zbroja Gertzów.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;ITAR_GS_FRAC_37;ITAR_GS_FRAC_37_V1;14;4;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;25;75;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;350;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;50;45;45;0;0;10;;;;FAŁSZ
Zbroja rodowa Gertz 5;BRAK;BRAK;FAŁSZ;Rodowa zbroja Gertzów.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;ITAR_GS_FRAC_38;ITAR_GS_FRAC_38_V1;15;5;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;30;120;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Duży zestaw naprawczy do pancerzy;400;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;65;60;60;0;0;5;;;;FAŁSZ
Zbroja rodowa Harbard 1;BRAK;BRAK;FAŁSZ;Rodowa zbroja Harbard.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_FRAC_50;10;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;32;8;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;300;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;30;25;20;0;0;0;;;;FAŁSZ
Zbroja rodowa Harbard 2;BRAK;BRAK;FAŁSZ;Rodowa zbroja Harbard.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_FRAC_51;12;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;54;16;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;350;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;40;35;30;0;0;15;;;;FAŁSZ
Zbroja rodowa Harbard 3;BRAK;BRAK;FAŁSZ;Rodowa zbroja Harbard.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_FRAC_52;12;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;54;16;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;350;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;30;35;40;0;0;15;;;;FAŁSZ
Pancerz Rekruta Ostrzy;BRAK;BRAK;FAŁSZ;Zbroja najemników.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_FRAC_39;8;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;16;4;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;300;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;15;20;20;0;0;5;;;;FAŁSZ
Pancerz Najemnika Ostrzy;BRAK;BRAK;FAŁSZ;Zbroja najemników.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_FRAC_40;10;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;32;8;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;300;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;25;30;30;0;0;0;;;;FAŁSZ
Pancerz Doświadczonego Najemnika Ostrzy;BRAK;BRAK;FAŁSZ;Zbroja najemników.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_FRAC_41;12;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;54;16;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;350;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;40;35;35;0;0;15;;;;FAŁSZ
Pancerz Elitarnego Najemnika Ostrzy;BRAK;BRAK;FAŁSZ;Zbroja najemników.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_FRAC_42;14;4;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;75;25;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;350;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;50;45;45;0;0;10;;;;FAŁSZ
Pancerz łowczego rodu de Lara;BRAK;BRAK;FAŁSZ;Lekki pancerz nie krępujący ruchów i pozwalający na pływanie w wodzie. Po odegraniu może być ubrany bez niczyjej pomocy.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;ITAR_SDRP_LTH_52;-;ITAR_GS_FRAC_43;15;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;8;32;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Zestaw do szycia;300;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;30;25;20;0;0;20;;;;FAŁSZ
Pancerz Rekruta Ostrzy;BRAK;BRAK;FAŁSZ;Zbroja najemników.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;ITAR_GS_FRAC_39;ITAR_GS_FRAC_39_V1;8;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;4;16;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;300;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;15;20;20;0;0;5;;;;FAŁSZ
Pancerz Najemnika Ostrzy;BRAK;BRAK;FAŁSZ;Zbroja najemników.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;ITAR_GS_FRAC_40;ITAR_GS_FRAC_40_V1;10;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;8;32;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;300;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;25;30;30;0;0;0;;;;FAŁSZ
Pancerz Doświadczonego Najemnika Ostrzy;BRAK;BRAK;FAŁSZ;Zbroja najemników.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;ITAR_GS_FRAC_41;ITAR_GS_FRAC_41_V1;12;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;16;54;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;350;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;40;35;35;0;0;15;;;;FAŁSZ
Pancerz Elitarnego Najemnika Ostrzy;BRAK;BRAK;FAŁSZ;Zbroja najemników.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_FRAC_41_1;12;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;16;54;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;350;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;40;35;30;0;0;15;;;;FAŁSZ
Pancerz Elitarnego Najemnika Ostrzy;BRAK;BRAK;FAŁSZ;Zbroja najemników.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;ITAR_GS_FRAC_42;ITAR_GS_FRAC_42_V1;14;4;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;25;75;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;350;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;50;45;45;0;0;10;;;;FAŁSZ
Zbroja rodziny Adler;BRAK;BRAK;FAŁSZ;Zbroja rodziny Adler;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_FRAC_49;12;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;54;16;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;350;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;30;35;40;0;0;0;;;;FAŁSZ
Zbroja rodziny Adler;BRAK;BRAK;FAŁSZ;Zbroja rodziny Adler;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;ITAR_GS_FRAC_49;ITAR_GS_FRAC_49_V1;12;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;16;54;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;350;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;40;35;30;0;0;15;;;;FAŁSZ
Pancerz młodego strażnika karawany;BRAK;BRAK;FAŁSZ;Zbroja najemników.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_UN_30;8;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;16;4;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;300;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;15;20;20;0;0;5;;;;FAŁSZ
Pancerz strażnika karawany;BRAK;BRAK;FAŁSZ;Zbroja najemników.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_UN_31;10;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;32;8;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;300;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;25;30;30;0;0;0;;;;FAŁSZ
Pancerz starszego strażnika karawny;BRAK;BRAK;FAŁSZ;Zbroja najemników.;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_UN_32;12;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;54;16;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;300;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;40;35;35;0;0;15;;;;FAŁSZ
Zbroja dezertera 1;BRAK;BRAK;FAŁSZ;Zbroja dezertera 1;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_UN_33;8;1;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;16;4;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;300;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;15;20;20;0;0;5;;;;FAŁSZ
Zbroja dezertera 2;BRAK;BRAK;FAŁSZ;Zbroja dezertera 2;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_UN_34;10;2;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;32;8;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;300;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;25;30;30;0;0;0;;;;FAŁSZ
Zbroja dezertera 3;BRAK;BRAK;FAŁSZ;Zbroja dezertera 3;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_UN_35;12;3;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;54;16;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;300;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;40;35;35;0;0;15;;;;FAŁSZ
Zbroja gwardzisty królewskiego;BRAK;BRAK;FAŁSZ;Zbroja gwardzisty królewskiego;ITEM_CAT_ARMOR;ITEM_WEAR_TORSO;Armor;Armor;AdminArmor;armors;FAŁSZ;Armor_Pir_04.asc;-;ITAR_GS_UN_36;14;4;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;25;75;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Średni zestaw naprawczy do pancerzy;350;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;50;45;45;0;0;10;;;;FAŁSZ
Decha do obrony;BRAK;BRAK;FAŁSZ;Decha do obrony;ITEM_CAT_NONE;ITEM_FLAG_SHIELD;Shield;Shield;AdminShield;shields;FAŁSZ;ITSH_DIV_SHIELD_WOOD_VERBESSERT_01;-;ITSH_GS_24;1;0;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;0;0;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;100;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;2;2;2;0;0;0;;;;FAŁSZ
Tarcze De Lare;BRAK;BRAK;FAŁSZ;Drewniana tarcze De Lare;ITEM_CAT_NONE;ITEM_FLAG_SHIELD;Shield;Shield;AdminShield;shields;FAŁSZ;DE_LARE_SHIELD_WODDEN;-;ITSH_GS_24_1;1,5;0;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;10;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;150;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;2;2;2;0;0;0;;;;FAŁSZ
Tarcza De Clare;BRAK;BRAK;FAŁSZ;Drewniana tarcza De Clare;ITEM_CAT_NONE;ITEM_FLAG_SHIELD;Shield;Shield;AdminShield;shields;FAŁSZ;DE_CLARE_SHIELD_WODDEN;-;ITSH_GS_24_2;1,5;0;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;10;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;150;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;2;2;2;0;0;0;;;;FAŁSZ
Tarcza Wyndham;BRAK;BRAK;FAŁSZ;Drewniana tarcza Wyndham;ITEM_CAT_NONE;ITEM_FLAG_SHIELD;Shield;Shield;AdminShield;shields;FAŁSZ;LINK;-;ITSH_GS_25;1,5;0;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;10;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;150;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;2;2;2;0;0;0;;;;FAŁSZ
Tarcza Van Moorendael;BRAK;BRAK;FAŁSZ;Drewniana tarcza Van Moorendael;ITEM_CAT_NONE;ITEM_FLAG_SHIELD;Shield;Shield;AdminShield;shields;FAŁSZ;VAN_MOORENDAEL_SHIELD_WODDEN;-;ITSH_GS_43;1,5;0;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;10;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;150;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;2;2;2;0;0;0;;;;FAŁSZ
Tarcza Von Bruckenthal;BRAK;BRAK;FAŁSZ;Drewniana tarcza Von Bruckenthal;ITEM_CAT_NONE;ITEM_FLAG_SHIELD;Shield;Shield;AdminShield;shields;FAŁSZ;VON_BRUCKENTHAL_SHIELD_WODDEN;-;ITSH_GS_44;1,5;0;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;10;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;150;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;2;2;2;0;0;0;;;;FAŁSZ
Tarcza Van de Graff;BRAK;BRAK;FAŁSZ;Drewniana tarcza Van de Graff;ITEM_CAT_NONE;ITEM_FLAG_SHIELD;Shield;Shield;AdminShield;shields;FAŁSZ;LINK;-;ITSH_GS_26;1,5;0;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;10;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;150;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;2;2;2;0;0;0;;;;FAŁSZ
Tarcza Von Falkenrot;BRAK;BRAK;FAŁSZ;Drewniana tarcza Von Falkenrot;ITEM_CAT_NONE;ITEM_FLAG_SHIELD;Shield;Shield;AdminShield;shields;FAŁSZ;VON_FALKENROT_SHIELD_WODDEN;-;ITSH_GS_45;1,5;0;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;10;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;150;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;2;2;2;0;0;0;;;;FAŁSZ
Tarcza Von Lindenthal;BRAK;BRAK;FAŁSZ;Drewniana tarcza Von Lindenthal;ITEM_CAT_NONE;ITEM_FLAG_SHIELD;Shield;Shield;AdminShield;shields;FAŁSZ;VON_LINDENTHAL_SHIELD_WODDEN;-;ITSH_GS_46;1,5;0;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;10;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;150;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;2;2;2;0;0;0;;;;FAŁSZ
Tarcza Van Aelst;BRAK;BRAK;FAŁSZ;Drewniana tarcza Van Aelst;ITEM_CAT_NONE;ITEM_FLAG_SHIELD;Shield;Shield;AdminShield;shields;FAŁSZ;LINK;-;ITSH_GS_27;1,5;0;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;10;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;150;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;2;2;2;0;0;0;;;;FAŁSZ
Tarcza Van Aerendaal;BRAK;BRAK;FAŁSZ;Drewniana tarcza Van Aerendaal;ITEM_CAT_NONE;ITEM_FLAG_SHIELD;Shield;Shield;AdminShield;shields;FAŁSZ;VAN_AERENDAAL_SHIELD_WODDEN;-;ITSH_GS_47;1,5;0;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;10;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;150;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;2;2;2;0;0;0;;;;FAŁSZ
Tarcza De Fournelle;BRAK;BRAK;FAŁSZ;Drewniana tarcza De Fournelle;ITEM_CAT_NONE;ITEM_FLAG_SHIELD;Shield;Shield;AdminShield;shields;FAŁSZ;DE_FOURNELLE_SHIELD_WODDEN;-;ITSH_GS_48;1,5;0;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;10;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;150;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;2;2;2;0;0;0;;;;FAŁSZ
Tarcza De Vingemont;BRAK;BRAK;FAŁSZ;Drewniana tarcza De Vingemont;ITEM_CAT_NONE;ITEM_FLAG_SHIELD;Shield;Shield;AdminShield;shields;FAŁSZ;LINK;-;ITSH_GS_28;1,5;0;Gamemaster;FAŁSZ;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;10;10;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;BRAK;;Mały zestaw naprawczy do pancerzy;150;FAŁSZ;5;5;BRAK;BRAK;BRAK;BRAK;2;2;2;0;0;0;;;;FAŁSZ
